municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
495;Rio das Pedras;   35228;  0;  0;0;0;  0; 1;  8; 0;  139;   63;   2; 0; 0;  11;  2;   9;    42;    41;   15; 0;   1;   309;   33
496;Rio Grande da Serra;   50846;  5;  5;0;0;  1; 0;  3; 0;  146;   26;   0; 0; 0;  15;  4;  11;    74;    71;   23; 0;   3;   285;   30
497;Riolândia;   12518;  0;  0;0;0;  0; 0;  4; 0;   45;   15;   1; 0; 0;   4;  0;   4;     2;     2;    0; 0;   0;   106;    3
498;Riversul;    5524;  0;  0;0;0;  1; 0;  0; 0;   34;    4;   1; 0; 0;   2;  0;   2;     3;     3;    0; 0;   0;    65;    1
499;Rosana;   16643;  1;  1;0;0;  1; 0;  1; 0;   80;   31;   0; 0; 0;  11;  1;  10;     3;     3;    0; 0;   0;   181;    2
500;Roseira;   10712;  2;  2;0;0;  2; 0;  1; 0;   38;    8;   0; 0; 0;   4;  1;   3;    25;    23;    6; 0;   2;    76;    3
501;Rubiácea;    3128;  0;  0;0;0;  0; 0;  0; 0;    8;    7;   0; 0; 0;   0;  0;   0;     1;     1;    1; 0;   0;    16;    0
502;Rubineia;    3148;  1;  1;0;0;  1; 0;  0; 0;    6;    6;   0; 0; 0;   2;  0;   2;     0;     0;    1; 0;   0;    31;    1
503;Sabino;    5590;  0;  0;0;0;  0; 0;  2; 0;   29;    4;   0; 0; 0;   1;  0;   1;     2;     2;    0; 0;   0;    76;    0
504;Sagres;    2432;  0;  0;0;0;  0; 0;  0; 0;    2;    1;   0; 1; 1;   0;  0;   0;     0;     0;    0; 0;   0;     6;    0
505;Sales;    6331;  0;  0;0;0;  0; 0;  0; 0;   48;   10;   0; 0; 0;   5;  2;   3;     1;     1;    0; 0;   0;    65;    1
506;Sales Oliveira;   11890;  0;  0;0;0;  2; 0;  0; 0;   40;    8;   1; 0; 0;   3;  0;   3;     2;     2;    4; 0;   0;    79;    5
507;Salesópolis;   17139;  0;  0;0;0;  2; 0;  0; 0;   68;   10;   0; 0; 0;   5;  0;   5;    11;    11;    1; 0;   0;   120;    8
